Epoch,Memory,trainBoxLoss,trainObjLoss,trainClsLoss,trainLoss,count,fixed,precision,recall,map05,map0595,valBoxLoss,valObjLoss,valClsLoss
161,9.14G,0.01223,0.004779,0.009261,0.02627,94,512,0.6961,0.7386,0.7374,0.7025,0.01189,0.002936,0.0172
162,9.14G,0.01223,0.004771,0.00916,0.02616,92,512,0.6963,0.7394,0.7379,0.703,0.01187,0.002925,0.01715
163,9.14G,0.01215,0.004749,0.009228,0.02613,59,512,0.6962,0.7401,0.738,0.7033,0.01185,0.002914,0.0171
164,9.14G,0.01228,0.004773,0.009202,0.02625,132,512,0.6958,0.7399,0.7377,0.703,0.01183,0.002904,0.01705
165,9.14G,0.01233,0.004766,0.009203,0.0263,93,512,0.6954,0.7406,0.738,0.7034,0.01181,0.002896,0.01701
166,9.14G,0.01215,0.004742,0.009231,0.02612,108,512,0.6951,0.7404,0.7384,0.7036,0.01179,0.002888,0.01696
167,9.14G,0.01208,0.004715,0.009102,0.0259,71,512,0.6944,0.7408,0.7388,0.704,0.01178,0.002881,0.01693
168,9.14G,0.01205,0.004683,0.008973,0.02571,97,512,0.6942,0.7409,0.7389,0.704,0.01176,0.002876,0.01688
169,9.14G,0.01213,0.004728,0.009019,0.02588,83,512,0.6941,0.7415,0.7402,0.7052,0.01174,0.00287,0.01684
170,9.14G,0.01208,0.004646,0.008886,0.02561,96,512,0.694,0.7419,0.7391,0.7043,0.01171,0.002862,0.01679
171,9.14G,0.01197,0.004696,0.008959,0.02563,137,512,0.6937,0.742,0.7391,0.7042,0.0117,0.00286,0.01675
172,9.14G,0.01206,0.004706,0.008977,0.02574,136,512,0.6939,0.7423,0.7396,0.7048,0.01168,0.002855,0.01671
173,9.14G,0.01209,0.0047,0.009111,0.0259,110,512,0.6938,0.7428,0.7402,0.7057,0.01166,0.002853,0.01667
174,9.14G,0.01198,0.004676,0.008932,0.02558,80,512,0.6937,0.743,0.7403,0.7052,0.01164,0.002847,0.01664
175,9.14G,0.01186,0.00464,0.008972,0.02548,66,512,0.6937,0.743,0.7407,0.7056,0.01162,0.002842,0.0166
176,9.14G,0.01191,0.004693,0.00894,0.02554,136,512,0.6991,0.746,0.7426,0.7074,0.0116,0.002838,0.01656
177,9.14G,0.01197,0.004691,0.009068,0.02573,119,512,0.6992,0.7466,0.7429,0.7075,0.01159,0.002833,0.01653
